N/100,pN,Z/100,pZ,przewidywane_BE/A(MeV)
0.03,0,0.77,0,-1.86717
0.03,0,0.78,1,-2.08182
0.03,0,0.79,0,-2.03278
0.03,0,0.8,1,-2.21424
0.03,0,0.81,0,-2.19142
0.03,0,0.82,1,-2.33626
0.03,0,0.83,0,-2.34157
0.03,0,0.84,1,-2.44872
0.03,0,0.85,0,-2.48209
0.03,0,0.86,1,-2.55246
0.03,0,0.87,0,-2.61232
0.03,0,0.88,1,-2.6482
0.03,0,0.89,0,-2.73202
0.03,0,0.9,1,-2.73663
0.03,0,0.91,0,-2.84136
0.03,0,0.92,1,-2.81834
0.03,0,0.93,0,-2.94076
0.03,0,0.94,1,-2.8939
0.03,0,0.95,0,-3.03083
0.03,0,0.96,1,-2.96381
0.03,0,0.97,0,-3.11228
0.03,0,0.98,1,-3.0285
0.03,0,0.99,0,-3.18587
0.03,0,1,1,-3.08839
0.03,0,1.01,0,-3.25232
0.03,0,1.02,1,-3.14387
0.03,0,1.03,0,-3.31236
0.03,0,1.04,1,-3.19527
0.03,0,1.05,0,-3.36662
0.03,0,1.06,1,-3.24291
0.03,0,1.07,0,-3.41572
0.03,0,1.08,1,-3.28709
0.03,0,1.09,0,-3.46017
0.03,0,1.1,1,-3.32806
0.03,0,1.11,0,-3.50048
0.03,0,1.12,1,-3.36607
0.03,0,1.13,0,-3.53705
0.03,0,1.14,1,-3.40135
0.03,0,1.15,0,-3.57029
0.03,0,1.16,1,-3.43411
0.03,0,1.17,0,-3.60051
0.03,0,1.18,1,-3.46455
0.03,0,1.19,0,-3.62803
0.03,0,1.2,1,-3.49283
0.03,0,1.21,0,-3.65311
0.03,0,1.22,1,-3.51913
0.03,0,1.23,0,-3.67599
0.03,0,1.24,1,-3.54359
0.03,0,1.25,0,-3.69687
0.03,0,1.26,1,-3.56637
0.03,0,1.27,0,-3.71595
0.03,0,1.28,1,-3.58757
0.03,0,1.29,0,-3.73339
0.03,0,1.3,1,-3.60733
0.03,0,1.31,0,-3.74934
0.03,0,1.32,1,-3.62575
0.03,0,1.33,0,-3.76395
0.03,0,1.34,1,-3.64293
0.03,0,1.35,0,-3.77733
0.03,0,1.36,1,-3.65897
0.03,0,1.37,0,-3.78959
0.03,0,1.38,1,-3.67395
0.03,0,1.39,0,-3.80083
0.03,0,1.4,1,-3.68795
0.03,0,1.41,0,-3.81115
0.03,0,1.42,1,-3.70104
0.03,0,1.43,0,-3.82061
0.03,0,1.44,1,-3.71329
0.03,0,1.45,0,-3.8293
0.03,0,1.46,1,-3.72475
0.03,0,1.47,0,-3.83728
0.03,0,1.48,1,-3.7355
0.03,0,1.49,0,-3.84462
0.03,0,1.5,1,-3.74557
0.04,1,0.01,0,1.34426
0.04,1,0.02,1,4.8897
0.04,1,0.03,0,5.60319
0.04,1,0.04,1,7.05386
0.04,1,0.05,0,6.24716
0.04,1,0.06,1,6.03602
0.04,1,0.07,0,5.35562
0.04,1,0.08,1,4.88713
0.04,1,0.09,0,4.38718
0.04,1,0.1,1,4.26534
0.04,1,0.11,0,3.92101
0.04,1,0.12,1,4.08561
0.04,1,0.13,0,3.71901
0.04,1,0.14,1,4.02794
0.04,1,0.15,0,3.59636
0.04,1,0.16,1,4.00032
0.04,1,0.17,0,3.5245
0.04,1,0.18,1,3.98127
0.04,1,0.19,0,3.48738
0.04,1,0.2,1,3.96088
0.04,1,0.21,0,3.46626
0.04,1,0.22,1,3.93263
0.04,1,0.23,0,3.44774
0.04,1,0.24,1,3.89421
0.04,1,0.25,0,3.42544
0.04,1,0.26,1,3.84602
0.04,1,0.27,0,3.39732
0.04,1,0.28,1,3.78938
0.04,1,0.29,0,3.36324
0.04,1,0.3,1,3.7254
0.04,1,0.31,0,3.32355
0.04,1,0.32,1,3.65462
0.04,1,0.33,0,3.27853
0.04,1,0.34,1,3.57688
0.04,1,0.35,0,3.228
0.04,1,0.36,1,3.49137
0.04,1,0.37,0,3.17107
0.04,1,0.38,1,3.39674
0.04,1,0.39,0,3.10562
0.04,1,0.4,1,3.29112
0.04,1,0.41,0,3.02752
0.04,1,0.42,1,3.17201
0.04,1,0.43,0,2.92923
0.04,1,0.44,1,3.0354
0.04,1,0.45,0,2.79839
0.04,1,0.46,1,2.8738
0.04,1,0.47,0,2.61817
0.04,1,0.48,1,2.67488
0.04,1,0.49,0,2.3744
0.04,1,0.5,1,2.42798
0.04,1,0.51,0,2.07197
0.04,1,0.52,1,2.14007
0.04,1,0.53,0,1.74439
0.04,1,0.54,1,1.83901
0.04,1,0.55,0,1.43401
0.04,1,0.56,1,1.55157
0.04,1,0.57,0,1.16341
0.04,1,0.58,1,1.28679
0.04,1,0.59,0,0.9319
0.04,1,0.6,1,1.04056
0.04,1,0.61,0,0.72863
0.04,1,0.62,1,0.80549
0.04,1,0.63,0,0.54264
0.04,1,0.64,1,0.57607
0.04,1,0.65,0,0.36615
0.04,1,0.66,1,0.34955
0.04,1,0.67,0,0.19439
0.04,1,0.68,1,0.12534
0.04,1,0.69,0,0.0246
0.04,1,0.7,1,-0.09582
0.04,1,0.71,0,-0.14471
0.04,1,0.72,1,-0.31258
0.04,1,0.73,0,-0.31432
0.04,1,0.74,1,-0.52343
0.04,1,0.75,0,-0.48457
0.04,1,0.76,1,-0.727
0.04,1,0.77,0,-0.65551
0.04,1,0.78,1,-0.92221
0.04,1,0.79,0,-0.82696
0.04,1,0.8,1,-1.10831
0.04,1,0.81,0,-0.99848
0.04,1,0.82,1,-1.28488
0.04,1,0.83,0,-1.16944
0.04,1,0.84,1,-1.45177
0.04,1,0.85,0,-1.33899
0.04,1,0.86,1,-1.60907
0.04,1,0.87,0,-1.50609
0.04,1,0.88,1,-1.75698
0.04,1,0.89,0,-1.66959
0.04,1,0.9,1,-1.89585
0.04,1,0.91,0,-1.82833
0.04,1,0.92,1,-2.02605
0.04,1,0.93,0,-1.98118
