N/100,pN,Z/100,pZ,BE/A(MeV),przewidywane_BE/A(MeV)
0.41,0,0.25,0,8.3318,8.36216
0.4,1,0.26,1,8.52172,8.55312
0.39,0,0.27,0,8.60594,8.6257
0.38,1,0.28,1,8.73951,8.73375
0.37,0,0.29,0,8.73147,8.72355
0.36,1,0.3,1,8.75963,8.76232
0.35,0,0.31,0,8.66936,8.68057
0.34,1,0.32,1,8.62544,8.64381
0.33,0,0.33,0,8.4684,8.46484
0.41,0,0.26,1,8.44847,8.48905
0.4,1,0.27,0,8.58174,8.6022
0.39,0,0.28,1,8.69575,8.69135
0.38,1,0.29,0,8.73746,8.72887
0.37,0,0.3,1,8.73415,8.73979
0.36,1,0.31,0,8.70753,8.71274
0.35,0,0.32,1,8.63286,8.6515
0.34,1,0.33,0,8.53057,8.54352
0.33,0,0.34,1,8.36953,8.37441
0.42,1,0.26,1,8.4117,8.44777
0.41,0,0.27,0,8.52437,8.54606
0.4,1,0.28,1,8.68247,8.68384
0.39,0,0.29,0,8.70189,8.70295
0.38,1,0.3,1,8.75568,8.76343
0.37,0,0.31,0,8.70122,8.7112
0.36,1,0.32,1,8.68814,8.70897
0.35,0,0.33,0,8.55774,8.57843
0.34,1,0.34,1,8.47705,8.48725
0.42,1,0.27,0,8.49387,8.51137
0.41,0,0.28,1,8.6231,8.6338
0.4,1,0.29,0,8.6952,8.69794
0.39,0,0.3,1,8.72273,8.73386
0.38,1,0.31,0,8.72458,8.73104
0.37,0,0.32,1,8.68096,8.7019
0.36,1,0.33,0,8.61182,8.63194
0.35,0,0.34,1,8.50371,8.5153
0.34,1,0.35,0,8.3449,8.36145
0.42,1,0.28,1,8.60429,8.61204
0.41,0,0.29,0,8.64686,8.66228
0.4,1,0.3,1,8.72981,8.74554
0.39,0,0.31,0,8.70928,8.71936
0.38,1,0.32,1,8.7217,8.74244
0.37,0,0.33,0,8.62167,8.64861
0.36,1,0.34,1,8.57603,8.59783
0.35,0,0.35,0,8.4148,8.41504
0.44,1,0.27,0,8.39873,8.40549
0.43,0,0.28,1,8.54316,8.55493
0.42,1,0.29,0,8.63502,8.64605
0.41,0,0.3,1,8.68904,8.70983
0.4,1,0.31,0,8.7176,8.72941
0.39,0,0.32,1,8.70331,8.72524
0.38,1,0.33,0,8.66393,8.68497
0.37,0,0.34,1,8.58606,8.60972
0.36,1,0.35,0,8.48146,8.49493
0.35,0,0.36,1,8.32713,8.32635
0.44,1,0.28,1,8.52021,8.52035
0.43,0,0.29,0,8.58652,8.59979
0.42,1,0.3,1,8.6918,8.7092
0.41,0,0.31,0,8.68709,8.70939
0.4,1,0.32,1,8.73174,8.75292
0.39,0,0.33,0,8.66038,8.68802
0.38,1,0.34,1,8.64449,8.67026
0.37,0,0.35,0,8.51131,8.53063
0.36,1,0.36,1,8.42932,8.43526
0.45,0,0.28,1,8.45765,8.46032
0.44,1,0.29,0,8.56857,8.57197
0.43,0,0.3,1,8.64834,8.66683
