N/100,pN,Z/100,pZ,BE/A(MeV),przewidywane_BE/A(MeV)
0.71,0,0.65,0,7.963,7.96198
0.88,1,0.49,0,8.047,7.97703
0.87,0,0.5,1,8.149,8.12622
0.73,0,0.64,1,8.08,8.07423
0.72,1,0.65,0,7.999,8.00224
0.88,1,0.5,1,8.113,8.09043
0.74,1,0.64,1,8.113,8.10604
0.73,0,0.65,0,8.019,8.01515
0.72,1,0.66,1,7.95,7.9557
0.89,0,0.5,1,8.066,8.02748
0.88,1,0.51,0,8.142,8.12678
0.75,0,0.64,1,8.126,8.11843
0.74,1,0.65,0,8.052,8.04961
0.73,0,0.66,1,7.971,7.96853
0.89,0,0.51,0,8.1,8.08061
0.74,1,0.66,1,8.008,8.00505
0.73,0,0.67,0,7.906,7.90795
0.9,1,0.51,0,8.066,8.02815
0.89,0,0.52,1,8.141,8.14583
0.75,0,0.66,1,8.027,8.01822
0.74,1,0.67,0,7.943,7.94745
0.9,1,0.52,1,8.111,8.11655
0.76,1,0.66,1,8.061,8.05016
0.75,0,0.67,0,7.965,7.96041
0.74,1,0.68,1,7.894,7.90139
0.91,0,0.52,1,8.068,8.06117
0.9,1,0.53,0,8.135,8.14517
0.76,1,0.67,0,7.999,7.99455
0.75,0,0.68,1,7.918,7.91419
0.91,0,0.53,0,8.098,8.10515
0.76,1,0.68,1,7.956,7.95012
0.75,0,0.69,0,7.851,7.85535
0.92,1,0.53,0,8.068,8.06138
0.77,0,0.68,1,7.975,7.9633
0.76,1,0.69,0,7.889,7.89391
0.77,0,0.69,0,7.914,7.90688
0.93,0,0.54,1,8.072,8.08149
0.94,1,0.54,1,8.047,8.04989
0.78,1,0.7,1,7.906,7.89639
0.94,1,0.55,0,8.073,8.08072
0.8,1,0.69,0,8.004,7.9831
0.79,0,0.7,1,7.927,7.90949
0.95,0,0.55,0,8.039,8.04013
0.94,1,0.56,1,8.112,8.13481
0.81,0,0.69,0,8.021,7.99672
0.8,1,0.7,1,7.964,7.94096
0.79,0,0.71,0,7.865,7.85447
0.96,1,0.55,0,8.013,7.9936
0.95,0,0.56,1,8.079,8.09139
0.8,1,0.71,0,7.903,7.88746
0.97,0,0.55,0,7.979,7.94675
0.96,1,0.56,1,8.057,8.06527
0.95,0,0.57,0,8.102,8.1203
0.94,1,0.58,1,8.161,8.18448
0.81,0,0.71,0,7.926,7.90118
0.97,0,0.56,1,8.023,8.0155
0.96,1,0.57,0,8.081,8.08966
0.95,0,0.58,1,8.134,8.14859
0.83,0,0.7,1,8.022,7.99356
0.81,0,0.72,1,7.882,7.85672
0.98,1,0.56,1,8,7.98152
0.97,0,0.57,0,8.051,8.05412
0.96,1,0.58,1,8.116,8.13306
0.83,0,0.71,0,7.969,7.9435
0.82,1,0.72,1,7.918,7.88782
0.98,1,0.57,0,8.028,8.01502
0.97,0,0.58,1,8.087,8.09348
0.83,0,0.72,1,7.928,7.9005
0.82,1,0.73,0,7.857,7.83543
0.99,0,0.57,0,7.997,7.9742
0.98,1,0.58,1,8.068,8.07208
0.97,0,0.59,0,8.106,8.11622
0.83,0,0.73,0,7.871,7.84891
0.99,0,0.58,1,8.037,8.02767
0.98,1,0.59,0,8.086,8.09101
0.85,0,0.72,1,7.96,7.94011
0.83,0,0.74,1,7.827,7.80492
1,1,0.58,1,8.016,7.99948
0.99,0,0.59,0,8.06,8.05909
0.98,1,0.6,1,8.116,8.12669
0.85,0,0.73,0,7.907,7.89079
0.84,1,0.74,1,7.854,7.83567
1,1,0.59,0,8.039,8.02637
0.99,0,0.6,1,8.089,8.08988
0.85,0,0.74,1,7.866,7.84794
0.84,1,0.75,0,7.795,7.78434
1.01,0,0.59,0,8.011,7.99041
1,1,0.6,1,8.073,8.0727
0.99,0,0.61,0,8.104,8.10723
0.85,0,0.75,0,7.809,7.79733
1.01,0,0.6,1,8.044,8.03224
1,1,0.61,0,8.087,8.08685
0.87,0,0.74,1,7.902,7.88716
0.85,0,0.76,1,7.764,7.75399
1.02,1,0.6,1,8.026,8.00899
1.01,0,0.61,0,8.063,8.05734
1,1,0.62,1,8.109,8.11679
0.87,0,0.75,0,7.848,7.83856
0.86,1,0.76,1,7.793,7.7845
1.02,1,0.61,0,8.044,8.03029
1.01,0,0.62,1,8.085,8.08214
0.87,0,0.76,1,7.806,7.79611
1.03,0,0.61,0,8.017,7.99785
1.02,1,0.62,1,8.069,8.06868
1.01,0,0.63,0,8.096,8.09472
1,1,0.64,1,8.13,8.14047
0.87,0,0.77,0,7.749,7.74634
1.03,0,0.62,1,8.043,8.03115
1.02,1,0.63,0,8.08,8.07859
1.01,0,0.64,1,8.11,8.11026
1,1,0.65,0,8.13,8.1361
0.89,0,0.76,1,7.843,7.83473
0.88,1,0.77,0,7.776,7.77443
1.04,1,0.62,1,8.024,8.01226
1.03,0,0.63,0,8.059,8.05068
1.02,1,0.64,1,8.098,8.10397
0.89,0,0.77,0,7.789,7.78675
0.88,1,0.78,1,7.732,7.73429
1.04,1,0.63,0,8.04,8.02867
1.03,0,0.64,1,8.076,8.07129
1.02,1,0.65,0,8.102,8.10458
0.92,1,0.75,0,7.929,7.9267
0.89,0,0.78,1,7.746,7.74497
1.05,0,0.63,0,8.014,7.99863
1.04,1,0.64,1,8.061,8.06101
1.03,0,0.65,0,8.082,8.07959
1.05,0,0.64,1,8.036,8.02582
1.04,1,0.65,0,8.068,8.06705
0.91,0,0.78,1,7.784,7.78283
0.9,1,0.79,0,7.716,7.72412
1.06,1,0.64,1,8.02,8.01075
1.05,0,0.65,0,8.047,8.04042
1.04,1,0.66,1,8.083,8.08849
0.93,0,0.77,0,7.854,7.85626
0.91,0,0.79,0,7.73,7.7353
1.06,1,0.65,0,8.031,8.0228
1.05,0,0.66,1,8.063,8.05792
0.91,0,0.8,1,7.685,7.69446
1.07,0,0.65,0,8.007,7.99444
1.06,1,0.66,1,8.05,8.0502
1.05,0,0.67,0,8.066,8.06227
1.07,0,0.66,1,8.027,8.01719
1.06,1,0.67,0,8.054,8.05268
1.05,0,0.68,1,8.074,8.07335
0.93,0,0.8,1,7.725,7.73146
1.08,1,0.66,1,8.012,8.00535
1.07,0,0.67,0,8.033,8.02734
1.06,1,0.68,1,8.064,8.07038
0.95,0,0.79,0,7.798,7.80385
1.08,1,0.67,0,8.019,8.01341
1.07,0,0.68,1,8.045,8.04223
1.09,0,0.67,0,7.997,7.98645
1.08,1,0.68,1,8.034,8.03646
1.09,0,0.68,1,8.013,8.00578
1.08,1,0.69,0,8.035,8.03562
1.1,1,0.68,1,7.999,7.99652
1.09,0,0.69,0,8.016,8.01182
1.05,0,0.73,0,8.035,8.04252
0.97,0,0.81,0,7.742,7.75145
1.1,1,0.69,0,8.002,8.0009
1.09,0,0.7,1,8.025,8.02419
1.11,0,0.69,0,7.982,7.97538
1.1,1,0.7,1,8.015,8.01979
1.12,1,0.69,0,7.967,7.96004
1.11,0,0.7,1,7.996,7.99176
1.12,1,0.7,1,7.984,7.98444
1.11,0,0.71,0,7.996,7.99393
1.13,0,0.7,1,7.964,7.95391
1.14,1,0.7,1,7.951,7.943
1.13,0,0.71,0,7.967,7.96156
1.15,0,0.7,1,7.929,7.91001
1.14,1,0.71,0,7.954,7.94928
1.02,1,0.83,0,7.732,7.74726
1.15,0,0.71,0,7.935,7.92374
1.16,1,0.71,0,7.922,7.90697
1.15,0,0.72,1,7.946,7.94145
1.17,0,0.71,0,7.902,7.87975
1.16,1,0.72,1,7.936,7.93248
1.17,0,0.72,1,7.917,7.90232
1.16,1,0.73,0,7.938,7.93515
1.18,1,0.72,1,7.907,7.88969
1.17,0,0.73,0,7.921,7.91152
1.18,1,0.73,0,7.911,7.89783
1.19,0,0.73,0,7.894,7.87245
1.18,1,0.74,1,7.924,7.91838
1.2,1,0.73,0,7.884,7.85422
1.19,0,0.74,1,7.908,7.89131
1.21,0,0.73,0,7.866,7.82707
1.2,1,0.74,1,7.899,7.88061
1.19,0,0.75,0,7.909,7.89623
1.21,0,0.74,1,7.882,7.85104
1.2,1,0.75,0,7.902,7.88496
1.22,1,0.74,1,7.872,7.8366
1.21,0,0.75,0,7.887,7.86169
1.23,0,0.74,1,7.854,7.80443
1.22,1,0.75,0,7.878,7.84656
1.21,0,0.76,1,7.898,7.87693
1.23,0,0.75,0,7.862,7.8215
1.22,1,0.76,1,7.891,7.86759
1.21,0,0.77,0,7.897,7.87774
1.24,1,0.75,0,7.851,7.8018
1.23,0,0.76,1,7.875,7.84135
1.24,1,0.76,1,7.868,7.82883
1.23,0,0.77,0,7.878,7.84748
1.25,0,0.76,1,7.851,7.80005
1.24,1,0.77,0,7.871,7.8348
1.26,1,0.76,1,7.842,7.78375
1.25,0,0.77,0,7.856,7.81205
1.27,0,0.76,1,7.816,7.75225
1.26,1,0.77,0,7.847,7.79546
1.25,0,0.78,1,7.867,7.82792
1.27,0,0.77,0,7.824,7.77087
1.26,1,0.78,1,7.86,7.81677
1.25,0,0.79,0,7.87,7.82971
1.28,1,0.77,0,7.807,7.7497
1.27,0,0.78,1,7.837,7.79155
1.26,1,0.79,0,7.861,7.81897
1.28,1,0.78,1,7.822,7.77715
1.27,0,0.79,0,7.84,7.79877
1.29,0,0.78,1,7.798,7.74934
1.28,1,0.79,0,7.825,7.78466
1.3,1,0.78,1,7.783,7.73114
1.29,0,0.79,0,7.804,7.7626
1.3,1,0.79,0,7.788,7.74453
1.29,0,0.8,1,7.813,7.77892
1.19,0,0.9,1,7.656,7.65119
1.31,0,0.79,0,7.766,7.72054
1.3,1,0.8,1,7.799,7.76592
1.31,0,0.8,1,7.778,7.74189
